x,y
0.16250715,0.99999284
0.16250715,0.99999284
0.16339691,0.99777191
0.16339691,0.99777191
0.16380667,0.99687499
0.16380667,0.99687499
0.16439587,0.99564585
0.16439587,0.99564585
0.16499927,0.99437572
0.16499927,0.99437572
0.16529749,0.99374998
0.16529749,0.99374998
0.16540882,0.99353379
0.16540882,0.99353379
0.16562501,0.99313431
0.16562501,0.99313431
0.16650485,0.99150485
0.16650485,0.99150485
0.16700889,0.99062502
0.16700889,0.99062502
0.16766037,0.98953539
0.16766037,0.98953539
0.16875,0.98778313
0.16875,0.98778313
0.16885783,0.98760784
0.16885783,0.98760784
0.16892383,0.98750001
0.16892383,0.98750001
0.16925784,0.98699216
0.16925784,0.98699216
0.17008572,0.98571073
0.17008572,0.98571073
0.17102619,0.984375
0.17102619,0.984375
0.17138255,0.98388255
0.17138255,0.98388255
0.171875,0.98321705
0.171875,0.98321705
0.17270737,0.98208237
0.17270737,0.98208237
0.17336124,0.98124999
0.17336124,0.98124999
0.17409071,0.9803407
0.17409071,0.9803407
0.175,0.97924995
0.175,0.97924995
0.17551183,0.97863682
0.17551183,0.97863682
0.17595617,0.97812498
0.17595617,0.97812498
0.17697435,0.97697435
0.17697435,0.97697435
0.17812499,0.97572499
0.17812499,0.97572499
0.17847405,0.97534907
0.17847405,0.97534907
0.17880348,0.97500002
0.17880348,0.97500002
0.18000933,0.97375934
0.18000933,0.97375934
0.18125001,0.97254187
0.18125001,0.97254187
0.1815906,0.97221561
0.1815906,0.97221561
0.18195086,0.97187501
0.18195086,0.97187501
0.18320639,0.9707064
0.18320639,0.9707064
0.184375,0.96965182
0.184375,0.96965182
0.18485377,0.96922877
0.18485377,0.96922877
0.18540507,0.96875
0.18540507,0.96875
0.18653318,0.96778318
0.18653318,0.96778318
0.1875,0.96698379
0.1875,0.96698379
0.1882511,0.96637609
0.1882511,0.96637609
0.18920443,0.96562499
0.18920443,0.96562499
0.1900014,0.96500138
0.1900014,0.96500138
0.190625,0.96452363
0.190625,0.96452363
0.19178437,0.96365936
0.19178437,0.96365936
0.19338339,0.96249998
0.19338339,0.96249998
0.19359603,0.96234602
0.19359603,0.96234602
0.19374999,0.96223659
0.19374999,0.96223659
0.19458532,0.96166466
0.19458532,0.96166466
0.19544718,0.96107218
0.19544718,0.96107218
0.19687501,0.96011169
0.19687501,0.96011169
0.19731928,0.95981929
0.19731928,0.95981929
0.19800697,0.95937502
0.19800697,0.95937502
0.19922045,0.95859546
0.19922045,0.95859546
0.2,0.958107
0.2,0.958107
0.20115282,0.95740283
0.20115282,0.95740283
0.20310042,0.95625001
0.20310042,0.95625001
0.20311587,0.95624088
0.20311587,0.95624088
0.203125,0.95623558
0.203125,0.95623558
0.20315837,0.95621664
0.20315837,0.95621664
0.20510692,0.95510693
0.20510692,0.95510693
0.20625,0.95446474
0.20625,0.95446474
0.20711766,0.95399267
0.20711766,0.95399267
0.20874549,0.953125
0.20874549,0.953125
0.20915616,0.95290617
0.20915616,0.95290617
0.20937499,0.95279145
0.20937499,0.95279145
0.21005191,0.95244809
0.21005191,0.95244809
0.21122522,0.95185021
0.21122522,0.95185021
0.21250001,0.95120963
0.21250001,0.95120963
0.21331269,0.95081267
0.21331269,0.95081267
0.2150073,0.94999999
0.2150073,0.94999999
0.21542492,0.94979991
0.21542492,0.94979991
0.215625,0.94970549
0.215625,0.94970549
0.21616657,0.94945842
0.21616657,0.94945842
0.21756709,0.94881708
0.21756709,0.94881708
0.21875,0.94828081
0.21875,0.94828081
0.21972601,0.94785099
0.21972601,0.94785099
0.22179366,0.94695632
0.22179366,0.94695632
0.221875,0.94692088
0.221875,0.94692088
0.22190739,0.94690737
0.22190739,0.94690737
0.22198554,0.94687498
0.22198554,0.94687498
0.22411707,0.94599206
0.22411707,0.94599206
0.22499999,0.94562942
0.22499999,0.94562942
0.22634503,0.94509504
0.22634503,0.94509504
0.22706103,0.94481398
0.22706103,0.94481398
0.22812501,0.94439413
0.22812501,0.94439413
0.22859134,0.94421635
0.22859134,0.94421635
0.2298255,0.94375002
0.2298255,0.94375002
0.23085966,0.94335967
0.23085966,0.94335967
0.23125,0.94321396
0.23125,0.94321396
0.23208759,0.94291243
0.23208759,0.94291243
0.23315279,0.94252781
0.23315279,0.94252781
