r,rho,v,P
0.10315971805370555,0.00010012928400183637,0.036842763092061706,0.04306549407685901
0.10323372071685936,0.0001004891411681037,0.036869192652861794,0.043065460428267914
0.10330772338001316,0.00010085003223393645,0.03689562221385436,0.04306542682893447
0.10338172604316699,0.00010121195942561842,0.03692205177504025,0.04306539327875721
0.1034557287063208,0.00010157492497262719,0.036948481336420286,0.0430653597776349
0.1035297313694746,0.00010193893110763637,0.036974910897995296,0.04306532632546662
0.10360373403262842,0.00010230398006651797,0.03700134045976614,0.043065292922151825
0.10367773669578222,0.00010267007408834461,0.03702777002173364,0.04306525956759019
0.10375173935893603,0.00010303721541539187,0.037054199583898655,0.043065226261681744
0.10382574202208983,0.00010340540629314056,0.03708062914626202,0.04306519300432678
0.10389974468524366,0.00010377464897027899,0.03710705870882461,0.04306515979542593
0.10397374734839747,0.00010414494569870528,0.03713348827158725,0.043065126634880095
0.10404775001155127,0.00010451629873352968,0.037159917834550804,0.04306509352259046
0.10412175267470508,0.0001048887103330768,0.03718634739771614,0.04306506045845858
0.10419575533785888,0.00010526218275888793,0.037212776961084125,0.0430650274423862
0.1042697580010127,0.00010563671827572335,0.03723920652465561,0.04306499447427547
0.1043437606641665,0.00010601231915156459,0.03726563608843147,0.043064961554028745
0.10441776332732032,0.00010638898765761673,0.03729206565241259,0.04306492868154874
0.10449176599047413,0.00010676672606831069,0.03731849521659983,0.0430648958567384
0.10456576865362793,0.00010714553666130554,0.03734492478099407,0.04306486307950099
0.10463977131678175,0.00010752542171749077,0.03737135434559619,0.043064830349740096
0.10471377397993555,0.00010790638352098857,0.03739778391040709,0.04306479766735953
0.10478777664308936,0.00010828842435915616,0.03742421347542764,0.043064765032263454
0.10486177930624316,0.00010867154652258803,0.03745064304065874,0.043064732444356275
0.10493578196939699,0.00010905575230511827,0.03747707260610129,0.04306469990354272
0.1050097846325508,0.00010944104400382284,0.037503502171756166,0.043064667409727746
0.1050837872957046,0.00010982742391902189,0.037529931737624284,0.04306463496281665
0.10515778995885841,0.00011021489435428201,0.037556361303706556,0.043064602562714986
0.10523179262201221,0.00011060345761641854,0.037582790870003865,0.0430645702093286
0.10530579528516602,0.00011099311601549785,0.03760922043651715,0.04306453790256363
0.10537979794831982,0.00011138387186483967,0.03763565000324729,0.04306450564232644
0.10545380061147365,0.00011177572748101933,0.03766207957019524,0.04306447342852376
0.10552780327462746,0.00011216868518387009,0.037688509137361895,0.04306444126106252
0.10560180593778126,0.00011256274729648539,0.03771493870474817,0.04306440913984996
0.10567580860093508,0.00011295791614522118,0.037741368272355025,0.043064377064793616
0.10574981126408887,0.00011335419405969819,0.03776779784018335,0.04306434503580126
0.10582381392724269,0.00011375158337280422,0.037794227408234106,0.043064313052780974
0.10589781659039649,0.00011415008642069647,0.037820656976508216,0.0430642811156411
0.10597181925355031,0.00011454970554280374,0.03784708654500663,0.043064249224290245
0.10604582191670413,0.00011495044308182882,0.03787351611373028,0.04306421737863729
0.10611982457985793,0.00011535230138375074,0.037899945682680104,0.04306418557859139
0.10619382724301174,0.00011575528279782703,0.037926375251857075,0.04306415382406198
0.10626782990616554,0.00011615938967659607,0.03795280482126213,0.04306412211495875
0.10634183256931935,0.00011656462437587933,0.037979234390896226,0.04306409045119168
0.10641583523247318,0.0001169709892547837,0.03800566396076033,0.043064058832671
0.10648983789562698,0.00011737848667570374,0.03803209353085538,0.04306402725930719
0.10656384055878079,0.00011778711900432402,0.03805852310118238,0.04306399573101104
0.10663784322193459,0.00011819688860962136,0.038084952671742264,0.04306396424769355
0.1067118458850884,0.00011860779786386716,0.038111382242536025,0.04306393280926605
0.1067858485482422,0.0001190198491426297,0.03813781181356463,0.043063901415640066
0.10685985121139602,0.00011943304482477636,0.038164241384829066,0.043063870066727454
0.10693385387454984,0.000119847387292476,0.038190670956330316,0.043063838762440285
0.10700785653770363,0.00012026287893120117,0.03821710052806935,0.043063807502690864
