x,vy
0.020932445290198873,0.10506566604127576
0.042816365366316514,0.2457786116322701
0.042816365366316514,0.2457786116322701
0.05042816365366175,0.2926829268292682
0.053282588011416235,0.3076923076923077
0.06374881065651596,0.3846153846153847
0.06993339676498399,0.4118198874296435
0.07754519505232922,0.46810506566604126
0.08896289248334711,0.5112570356472795
0.10038058991436503,0.5656660412757973
0.1094196003805875,0.6191369606003752
0.12844909609895067,0.6885553470919324
0.1493815413891501,0.7654784240150094
0.16460513796384058,0.8030018761726079
0.17126546146526772,0.8180112570356473
0.17982873453853115,0.8311444652908068
0.17982873453853115,0.8311444652908068
0.19314938154138533,0.8405253283302063
0.20647002854423951,0.8348968105065666
0.2178877259752574,0.8217636022514072
0.22645099904852084,0.8030018761726079
0.23786869647953873,0.7711069418386491
0.24928639391055663,0.7467166979362101
0.25118934348239297,0.7148217636022514
0.25975261655565635,0.6866791744840526
0.2654614652711653,0.6547842401500938
0.27497621313034687,0.6153846153846154
0.2825880114176922,0.5834896810506567
0.2892483349191192,0.5497185741088181
0.2892483349191192,0.5497185741088181
0.2968601332064645,0.5234521575984992
0.3006660323501371,0.48968105065666045
0.3063748810656461,0.46341463414634154
0.31398667935299135,0.42776735459662285
0.31969552806850027,0.39399624765478425
0.32540437678400924,0.36022514071294565
0.3320647002854363,0.33208255159474664
0.3406279733586997,0.3020637898686679
0.34348239771645417,0.275797373358349
0.34919124643196314,0.23827392120075053
0.34919124643196314,0.23827392120075053
0.36441484300665367,0.1838649155722326
0.36441484300665367,0.1838649155722326
0.37012369172216264,0.16135084427767354
0.3815413891531805,0.1313320825515948
0.3882017126546077,0.10131332082551592
0.39771646051378917,0.07317073170731714
0.4119885823025615,0.046904315196998114
0.4186489058039886,0.030018761726078758
0.4262607040913339,0.018761726078799335
0.44243577545194257,0.005628517823639934
0.4671741198858147,0.0037523452157599557
0.4900095147478505,0
